cui	original_text	bioportal_mappings
C0596902	MEMBRANE TRANSPORT PROTEINS	MEMBRANE TRANSPORT', 'http://purl.obolibrary.org/obo/GO_0055085'
C0001473	ADENOSINE TRIPHOSPHATASES	[('ADENOSINE', 'http://purl.obolibrary.org/obo/CHEBI_16335
C0429863	PULSATILITY INDEX, ARTERIAL VELOCITY WAVEFORM	[('VELOCITY', 'http://purl.obolibrary.org/obo/CHEBI_145500')]
C0795974	HEREDITARY MACULAR EPIDERMOLYSIS BULLOSA	'EPIDERMOLYSIS BULLOSA', 'http://purl.obolibrary.org/obo/DOID_2730
C1706912	BARRIER	[]
C0014442	ENZYMES	[]
C1138348	MOIRA PROTEIN, DROSOPHILA	DROSOPHILA', 'http://purl.obolibrary.org/obo/NCBITaxon_72
C1955978	NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS (U.S.)	[('DEAFNESS', 'http://purl.obolibrary.org/obo/MONDO_0005365
C0034348	PYRUVATE KINASE	[('PYRUVATE', 'http://purl.obolibrary.org/obo/CHEBI_15361')]
C0080093	N-METHYL-D-ASPARTATE RECEPTORS	[('N-METHYL-D-ASPARTATE', 'http://purl.obolibrary.org/obo/CHEBI_31882')]
C0032344	POISONING ASPECTS	[('POISONING', 'http://purl.obolibrary.org/obo/MONDO_0029000')]
C0740116	2	[]
C1738970	ABCB1 PROTEIN, HUMAN	ABCB1', 'http://purl.obolibrary.org/obo/PR_P43245'
C0110611	CONNEXINS	[]
C0040028	THROMBOCYTHEMIA, ESSENTIAL	[('THROMBOCYTHEMIA', 'http://purl.obolibrary.org/obo/MONDO_0019111')]
C1425219	SLC22A12 GENE	[('SLC22A12', 'http://purl.obolibrary.org/obo/PR_000014983
C0034807	GABA-A RECEPTOR	[('GABA', 'http://purl.obolibrary.org/obo/CHEBI_16865')]
C0242821	HUMAN BODY	'BODY', 'http://purl.obolibrary.org/obo/UBERON_0013702')]
C1418213	P2RX4 GENE	'P2RX4', 'http://purl.obolibrary.org/obo/PR_Q99571')]
C0034805	FC RECEPTOR	[]
C0596988	MUTANT	
C0132555	NITRIC OXIDE SYNTHASE	[('NITRIC OXIDE', 'http://purl.obolibrary.org/obo/CHEBI_16480
C0004651	BACTERIOPHAGES	[('AGE', 'http://purl.obolibrary.org/obo/PATO_0000011')]
C0018358	GUANYLATE CYCLASE	[]
C0034131	PURIFIED PROTEIN DERIVATIVE OF TUBERCULIN	[('PROTEIN', 'http://purl.obolibrary.org/obo/CHEBI_36080')]
C0017110	GASES	[]
C0669372	NOS2A PROTEIN, HUMAN	NOS2A', 'http://purl.obolibrary.org/obo/PR_000001901')]
C0024944	MAURITIUS	[]
