"cui","sab","code"
C0000184,GO,GO:0004113
C0000184,GO,GO:0008663
C0000729,HPO,HP:0032155
C0000731,HPO,HP:0003270
C0000734,HPO,HP:0031500
C0000737,HPO,HP:0002027
C0000744,HPO,HP:0008181
C0000778,HPO,HP:0032224
C0000786,HPO,HP:0005268
C0000820,HPO,HP:0030449
C0000832,HPO,HP:0011419
C0000833,HPO,HP:0025615
C0000887,HPO,HP:0100792
C0000889,HPO,HP:0000956
C0001075,HPO,HP:0032448
C0001118,HPO,HP:0004360
C0001122,HPO,HP:0001941
C0001125,HPO,HP:0003128
C0001126,HPO,HP:0001947
C0001127,HPO,HP:0005972
C0001139,HPO,HP:0032250
C0001202,HPO,HP:0200016
C0001206,HPO,HP:0000845
C0001216,GO,GO:0001669
C0001272,GO,GO:0001508
C0001339,HPO,HP:0001735
C0001349,GO,GO:0006953
C0001403,HPO,HP:0008207
C0001427,HPO,HP:0031458
C0001618,HPO,HP:0100641
C0001621,HPO,HP:0000834
C0001623,HPO,HP:0000846
C0001624,HPO,HP:0100631
C0001627,HPO,HP:0008258
C0001768,HPO,HP:0004432
C0001801,GO,GO:0000752
C0001801,GO,GO:0007157
C0001807,GO,GO:0002118
C0001807,HPO,HP:0000718
C0001807,HPO,HP:0006919
C0001811,GO,GO:0007568
C0001816,HPO,HP:0010524
C0001818,HPO,HP:0000756
C0001824,HPO,HP:0012234
C0001860,HPO,HP:0031009
C0001889,HPO,HP:0012672
C0001916,HPO,HP:0001022
C0001925,HPO,HP:0012592
C0001973,HPO,HP:0030955
C0002018,HPO,HP:0010523
C0002020,HPO,HP:0031433
C0002063,HPO,HP:0001948
C0002064,HPO,HP:0001950
C0002170,HPO,HP:0001596
C0002170,HPO,HP:0002293
C0002171,HPO,HP:0002229
C0002382,HPO,HP:0006308
C0002390,HPO,HP:0006516
C0002395,HPO,HP:0002511
C0002418,HPO,HP:0000646
C0002447,HPO,HP:0009827
C0002451,GO,GO:0097186
C0002452,HPO,HP:0000705
C0002453,HPO,HP:0000141
C0002511,GO,GO:0043038
C0002534,HPO,HP:0008335
C0002726,HPO,HP:0011034
C0002736,HPO,HP:0007354
C0002788,GO,GO:0000090
C0002792,GO,GO:0030105
C0002792,HPO,HP:0100845
C0002871,HPO,HP:0001903
C0002874,HPO,HP:0001915
C0002876,HPO,HP:0004810
C0002878,HPO,HP:0001878
C0002880,HPO,HP:0001890
C0002881,HPO,HP:0004804
C0002884,HPO,HP:0001931
C0002886,HPO,HP:0001972
C0002888,HPO,HP:0001889
C0002893,HPO,HP:0005505
C0002896,HPO,HP:0001924
C0002902,HPO,HP:0002323
C0002940,HPO,HP:0002617
C0002949,HPO,HP:0005294
C0002962,HPO,HP:0001681
C0002982,HPO,HP:0001102
C0002985,HPO,HP:0001014
C0002986,HPO,HP:0001071
C0002994,HPO,HP:0100665
C0003028,HPO,HP:0000970
C0003076,HPO,HP:0000526
C0003079,HPO,HP:0009916
C0003081,HPO,HP:0012803
C0003090,HPO,HP:0031013
C0003113,HPO,HP:0030784
C0003119,HPO,HP:0000528
C0003123,HPO,HP:0002039
C0003126,HPO,HP:0000458
C0003261,GO,GO:0002377
C0003272,GO,GO:0001788
C0003319,GO,GO:0020033
C0003460,HPO,HP:0100519
C0003463,HPO,HP:0032186
C0003466,HPO,HP:0002023
C0003467,HPO,HP:0000739
C0003486,HPO,HP:0004942
C0003492,HPO,HP:0001680
C0003496,HPO,HP:0031649
C0003499,HPO,HP:0004381
C0003504,HPO,HP:0001659
C0003505,HPO,HP:0025578
C0003507,HPO,HP:0001650
C0003516,HPO,HP:0011604
C0003537,HPO,HP:0002381
C0003550,HPO,HP:0002427
C0003564,HPO,HP:0001686
C0003578,HPO,HP:0002104
C0003622,GO,GO:0032098
C0003635,HPO,HP:0002186
C0003650,HPO,HP:0040192
C0003706,HPO,HP:0001166
C0003706,HPO,HP:0001519
C0003742,HPO,HP:0001084
C0003803,HPO,HP:0002308
