agent_name	grounding	other_mapping	cui
gene encoding SERCA2a	(None, None)	{'TEXT': 'gene encoding SERCA2a'}	C0017337
incretin	(None, None)	{'TEXT': 'incretin'}	C1562292
trichostatin A	('CHEBI', 'CHEBI:46024')	{'PUBCHEM': '444732', 'CHEBI': 'CHEBI:46024', 'CHEMBL': 'CHEMBL99', 'CAS': '58880-19-6', 'DRUGBANK': 'DB04297', 'TEXT': 'TSA'}	C1418880
--epigallocatechin 3-gallate	('CHEBI', 'CHEBI:4806')	{'PUBCHEM': '65064', 'CHEBI': 'CHEBI:4806', 'CAS': '989-51-5', 'CHEMBL': 'CHEMBL297453', 'DRUGBANK': 'DB12116', 'HMS-LINCS': '10336', 'LINCS': 'LSM-5661', 'HMDB': 'HMDB0003153', 'TEXT': 'EGCG'}	C0059438
ROS1	('HGNC', '10261')	{'UP': 'P08922', 'EGID': '6098', 'MESH': 'C062333', 'HGNC': '10261', 'TEXT': 'ROS'}	C0073591
SIRT1	('HGNC', '14929')	{'UP': 'Q96EB6', 'HGNC': '14929', 'EGID': '23411', 'MESH': 'C447939', 'TEXT': 'SIRT1'}	C2720167
CREBBP	('HGNC', '2348')	{'UP': 'Q92793', 'MESH': 'C494363', 'EGID': '1387', 'HGNC': '2348', 'TEXT': 'CBP'}	C3539643
TMPRSS11D	('HGNC', '24059')	{'UP': 'O60235', 'TEXT': 'HAT', 'HGNC': '24059', 'MESH': 'C000634091', 'EGID': '9407'}	C0444765
EP300	('HGNC', '3373')	{'UP': 'Q09472', 'HGNC': '3373', 'EGID': '2033', 'MESH': 'C494360', 'TEXT': 'p300'}	C1530358
ATP2A2	('HGNC', '812')	{'UP': 'P16615', 'TEXT': 'Atp2a2', 'HGNC': '812', 'EGID': '488', 'MESH': 'C506946'}	C0022595
+ QU	(None, None)	{'TEXT': '+ QU'}	C4053566
"., Marasciulo, F. L.,
Montagnani"	(None, None)	{'TEXT': '., Marasciulo, F. L.,\nMontagnani'}	C0016327
11bHSD1 reductase	(None, None)	{'TEXT': '11bHSD1 reductase'}	C0030016
13-lipoxygenase	(None, None)	{'TEXT': '13-lipoxygenase'}	C0763738
3H	(None, None)	{'PF': 'PF02829', 'TEXT': '3H'}	C1442460
4-PDC	(None, None)	{'TEXT': '4-PDC'}	C4551506
5-10nM	(None, None)	{'TEXT': '5-10nM'}	C0728893
7,8-diol-B	(None, None)	{'TEXT': '7,8-diol-B'}	C0017945
ABC transporter	(None, None)	{'PF': 'PF00005', 'TEXT': 'ABC transporter'}	C0242738
AD	(None, None)	{'PF': 'PF09793', 'TEXT': 'AD'}	C1843013
AGEs-	(None, None)	{'TEXT': 'AGEs-'}	C0162574
AKR	(None, None)	{'IP': 'IPR020471', 'TEXT': 'AKR'}	C0025918
ANS gene	(None, None)	{'TEXT': 'ANS gene'}	C0017337
ANT	(None, None)	{'PF': 'PF03374', 'TEXT': 'ANT'}	C0003455
"AP-
1"	(None, None)	{'TEXT': 'AP-\n1'}	C0002680
ASBT inhibitor	(None, None)	{'TEXT': 'ASBT inhibitor'}	C1999216
ATPase	(None, None)	{'PF': 'PF06745', 'TEXT': 'ATPase'}	C0001473
AhR-CYP	(None, None)	{'TEXT': 'AhR-CYP'}	C0010762
"Akt
signaling"	(None, None)	{'TEXT': 'Akt\nsignaling'}	C0164786
Annexin	(None, None)	{'PF': 'PF00191', 'TEXT': 'Annexin'}	C0065042
Aota K	(None, None)	{'TEXT': 'Aota K'}	C0284941
Api- genin	(None, None)	{'TEXT': 'Api- genin'}	C4284635
BC products	(None, None)	{'TEXT': 'BC products'}	C0006041
Biochanin-A	(None, None)	{'TEXT': 'Biochanin-A'}	C0053622
